01:55:03.762 [main] INFO  c.e.d.DividendProjectApplication - Starting DividendProjectApplication using Java 11.0.15.1 on DESKTOP-6URLLND with PID 8004 (C:\Users\user\Documents\GitHub\Dividend-Project\out\production\classes started by user in C:\Users\user\Documents\GitHub\Dividend-Project)
02:00:02.405 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
02:00:04.117 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@d695f9d, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@7daf167, org.springframework.security.web.context.SecurityContextPersistenceFilter@d4dbb34, org.springframework.security.web.header.HeaderWriterFilter@285ac29, org.springframework.security.web.authentication.logout.LogoutFilter@64dfa1a3, com.example.dividendproject.security.JwtAuthenticationFilter@63d75087, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@5d10e2b6, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@267309f7, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@6df4d8f1, org.springframework.security.web.session.SessionManagementFilter@1f2d0ca2, org.springframework.security.web.access.ExceptionTranslationFilter@21b3d356, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@524b1e41]
02:00:04.194 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
02:00:05.107 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
02:00:05.142 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
02:00:05.162 [main] INFO  c.e.d.DividendProjectApplication - Started DividendProjectApplication in 13.1 seconds (JVM running for 13.997)
02:00:12.852 [http-nio-8080-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
02:00:12.853 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
02:00:12.855 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 2 ms
02:00:19.893 [http-nio-8080-exec-3] INFO  c.e.d.web.AuthController - user login -> wndgn2
02:00:40.085 [http-nio-8080-exec-4] INFO  c.e.d.s.JwtAuthenticationFilter - [wndgn2] -> /company
